Year,Link,Title,Director,Language,Notes,Credit
2017,wiki/Njandukalude_Nattil_Oridavela,Njandukalude Nattil Oridavela,Althaf Salim,wiki/Malayalam,Malayalam,Re-recording Mixer
2017,wiki/Jagga_Jasoos,Jagga Jasoos,Anurag Basu,wiki/Hindi,Hindi,Additional Re-recording Mixer
2016,wiki/The_Fakir_of_Venice,The Fakir of Venice,Anand Surapur,wiki/Hindi,Hindi,Re-recording Mixer
2016,wiki/Udta_Punjab,Udta Punjab,Abhishek Chaubey,wiki/Hindi,Hindi,Re-recording Mixer
2015,wiki/Moor_(film),Moor,Jami,wiki/Urdu,Urdu,Re-recording Mixer
2015,wiki/Bombay_Velvet,Bombay Velvet,Anurag Kashyap,wiki/Hindi,Hindi,Re-recording Mixer
2013,wiki/Inkaar_(2013_film),Inkaar,Sudhir Mishra,wiki/Hindi,Hindi,Re-recording Mixer
2012,wiki/Balak-Palak,Balak-Palak,Ravi Jadhav,wiki/Marathi_language,Marathi,Re-recording Mixer
2012,"wiki/Billa_2"" class=""mw-redirect",Billa - II,Chakri Toleti,wiki/Tamil_language,Tamil,Re-recording Mixer
2012,wiki/Rowdy_Rathore,Rowdy Rathore,Prabhu Deva,wiki/Hindi,Hindi,Remake of Telugu Film,/wiki/Vikramarkudu,Vikramarkudu,Re-recording Mixer
2012,"wiki/Gangs_of_Wasseypur_-_Part_2"" class=""mw-redirect",Gangs of Wasseypur - II,Anurag Kashyap,wiki/Hindi,Hindi,Re-recording Mixer
2012,wiki/Agneepath_(2012_film),Agneepath,Karan Malhotra,wiki/Hindi,Hindi,Re-recording Mixer
2011,wiki/Jo_Hum_Chahein,Jo Hum Chahein,Pawan Gill,wiki/Hindi,Hindi,Re-recording Mixer
2011,wiki/Aazaan,Aazaan,Prashant Chadha,wiki/Hindi,Hindi,Sound Editor
2011,wiki/My_Friend_Pinto,My Friend Pinto,Raaghav Dar,wiki/Hindi,Hindi,Re-recording Mixer
2011,wiki/Rascals_(2011_film),Rascals,David Dhawan,wiki/Hindi,Hindi,Sound Editor
2011,wiki/Force_(2011_film),Force,Nishikanth Kamath,wiki/Hindi,Hindi,Effects Mixer
2011,wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2,Harry Potter and the Deathly Hallows – Part 2,David Yates,wiki/English_language,English,Version Re-recording Mixer
2011,wiki/Green_Lantern_(film),Green Lantern,Martin Campbell,wiki/English_language,English,Version Re-recording Mixer
2011,wiki/Stanley_Ka_Dabba,Stanley Ka Dabba,Amole Gupte,wiki/Hindi,Hindi,Re-recording Mixer
2011,wiki/Happy_Husbands_(2011_film),Happy Husbands,Anay Sharma,wiki/Hindi,Hindi,Re-recording Mixer
2011,wiki/Sucker_Punch_(2011_film),Sucker Punch,Zack Snyder,wiki/English_language,English,Version Re-recording Mixer
2011,wiki/Yeh_Saali_Zindagi,Yeh Saali Zindagi,Sudhir Mishra,wiki/Hindi,Hindi,Sound Designer
2011,wiki/Yamla_Pagla_Deewana,Yamla Pagla Deewana,Samir Karnik,wiki/Hindi,Hindi,Sound Editor
2010,wiki/Khelein_Hum_Jee_Jaan_Sey,Khelein Hum Jee Jaan Sey,Ashutosh Gowarikar,wiki/Hindi,Hindi,Re-recording Mixer
2010,wiki/Allah_Ke_Banday,Allah Ke Banday,Faruk Kabir,wiki/Hindi,Hindi,Re-recording Mixer
2010,wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_1,Harry Potter and the Deathly Hallows – Part 1,David Yates,wiki/English_language,English,Version Re-recording Mixer
2010,wiki/Nakshatra_(film),Nakshatra,Mohan Savalkar,wiki/Hindi,Hindi,Sound Designer & Re-recording Mixer
2010,wiki/Kajraare,Kajraare,Pooja Bhatt,wiki/Hindi,Hindi,Re-recording Mixer
2010,wiki/Knock_Out_(2010_film),Knock Out,Mani Shankar,wiki/Hindi,Hindi,Sound Editor & Re-recording Mixer
2010,wiki/Apoorvaragam,Apoorvaragam,Sibi Malayil,wiki/Malayalam,Malayalam,Re-recording Mixer
2010,wiki/Inception,Inception,Christopher Nolan,wiki/English_language,English,Version Re-recording Mixer
2010,wiki/Clash_of_the_Titans_(2010_film),Clash of the Titans,Louis Leterrier,wiki/English_language,English,Version Re-recording Mixer
2010,"wiki/Love_Sex_aur_Dhokha"" class=""mw-redirect","LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,wiki/Hindi,Hindi,Re-recording Mixer
2010,wiki/Chance_Pe_Dance,Chance Pe Dance,Ken Ghosh,wiki/Hindi,Hindi,Film Score Mixer
2010,wiki/Aayirathil_Oruvan_(2010_film),Aayirathil Oruvan,K.Selvaraghavan,wiki/Tamil_language,Tamil,Sound Designer
2010,wiki/Natarang,Natarang,Ravi Jadhav,wiki/Marathi_language,Marathi,Re-recording Mixer
2009,wiki/Paa_(film),Paa,R. Balki,wiki/Hindi,Hindi,Re-recording Mixer
2009,wiki/Tum_Mile,Tum Mile,Kunal Deshmukh,wiki/Hindi,Hindi,Re-recording Mixer
2009,wiki/London_Dreams,London Dreams,Vipul Shah,wiki/Hindi,Hindi,Re-recording Mixer
2009,wiki/Aladin_(film),Aladin,Sujoy Ghosh,wiki/Hindi,Hindi,Sound Editor
2009,wiki/What%27s_Your_Raashee%3F,What's Your Rashee?,Ashutosh Gowariker,wiki/Hindi,Hindi,Re-recording Mixer
2009,"wiki/Road,_Movie","Road, Movie",Dev Benegal,wiki/Hindi,Hindi,Sound Editor
2009,wiki/Kaminey,Kaminey,Vishal Bharadwaj,wiki/Hindi,Hindi,Re-recording Mixer
2009,wiki/Well_Done_Abba,Well Done Abba,Shyam Benegal,wiki/Hindi,Hindi,Associate re-recording Mixer
2009,wiki/Detective_Naani,Detective Naani,Romilla Mukherjee,wiki/Hindi,Hindi,Associate re-recording Mixer
2009,wiki/99_(2009_film),99,Krishna D.K & Raj Nidimoru,wiki/Hindi,Hindi,Sound effects editor
2008,wiki/Dhoondte_Reh_Jaaoge,Dhoondte Reh Jaaoge,Umesh Shukla,wiki/Hindi,Hindi,Sound Editor
2008,wiki/Watchmen_(film),Watchmen,Zack Snyder,wiki/English_language,English,Version Re-recording Mixer
2008,wiki/The_Fakir_of_Venice,The Fakir of Venice,Anand Surapur,wiki/Hindi,Hindi,Re-recording Mixer
2008,wiki/Jumbo_(film),Jumbo,Kompin Kemgumnird,wiki/Hindi,Hindi,Sound Editor & Re-recording Mixer
2008,wiki/Dasvidaniya,Dasvidaniya,Shashant Shah,wiki/Hindi,Hindi,Sound Editor & Sound Mixer
2008,wiki/Rang_Rasiya,Rang Rasiya,Ketan Mehta,wiki/Hindi,Hindi,Re-Recording Mixer
2008,wiki/Welcome_to_Sajjanpur,Welcome to Sajjanpur,Shyam Benegal,wiki/Hindi,Hindi,Associate Re-recording Mixer
2008,wiki/Firaaq,Firaaq,Nandita Das,wiki/Hindi,Hindi,Sound mixing assistant
2008,wiki/Love_Story_2050,Love Story 2050,Harry Baweja,wiki/Hindi,Hindi,Assistant sound designer
2008,wiki/Jannat_(film),Jannat,Kunal Deshmukh,wiki/Hindi,Hindi,Re-recording Mixer
2008,wiki/Jodha_Akbar,Jodha Akbar,Ashutosh Gowariker,wiki/Hindi,Hindi,"Re-recording Mixer, Sound Editor"
2007,wiki/Saade_Maade_Teen,Saade Maade Teen,Ankush Choudhary,wiki/Marathi_language,Marathi,Re-recording Mixer
2007,wiki/Speed_(2007_film),Speed,Vikram Bhatt,wiki/Hindi,Hindi,Associate Re-recording Mixer
2007,wiki/Go_(2007_film),Go,Manish Shrivastava,wiki/Hindi,Hindi,Associate Re-recording Mixer & Sound Designer
2007,wiki/Dhokha,Dhokha,Pooja Bhatt,wiki/Hindi,Hindi,Associate Re-recording Mixer
2007,wiki/Harry_Potter_and_the_Order_of_the_Phoenix_(film),Harry Potter and the Order of the Phoenix,David Yates,wiki/English_language,English,Version Re-recording Mixer
2007,wiki/Cheeni_Kum,Cheeni Kum,R. Balki,wiki/Hindi,Hindi,Associate Re-recording Mixer
2007,wiki/Life_in_a..._Metro,Life in a... Metro,Anurag Basu,wiki/Hindi,Hindi,Associate Re-recording Mixer
2007,wiki/Kya_Love_Story_Hai,Kya Love Story Hai,Lovely Singh,wiki/Hindi,Hindi,Associate Re-recording Mixer
2007,wiki/The_Reaping,The Reaping,Stephen Hopkins,wiki/English_language,English,Version Re-recording Mixer
2007,wiki/Just_Married_(2007_film),Just Married,Meghna Gulzar,wiki/Hindi,Hindi,Re-recording Mixer
2007,wiki/Honeymoon_Travels_Pvt._Ltd.,Honeymoon Travels Pvt. Ltd.,Reema Kagti,wiki/Hindi,Hindi,Associate Re-recording Mixer
2006,Shubhamangal Savadhan,Mahesh Kothare,wiki/Marathi_language,Marathi,Re-recording Mixer
2006,wiki/300_(film),300,Zack Snyder,wiki/English_language,English,Version Re-recording Mixer
2006,wiki/Sarhad_Paar,Sarhad Paar,Raman Kumar,wiki/Hindi,Hindi,Associate Re-recording Mixer
2006,wiki/Jaan-E-Mann,Jaan-E-Mann,Shirish Kunder,wiki/Hindi,Hindi,Associate Re-recording Mixer
2006,wiki/Zindaggi_Rocks,Zindaggi Rocks,Shirish Kunder,wiki/Hindi,Hindi,Associate Re-recording Mixer
2006,wiki/Woh_Lamhe,Woh Lamhe,Mohit Suri,wiki/Hindi,Hindi,Associate Re-recording Mixer
2006,wiki/Anthony_Kaun_Hai%3F,Anthony Kaun Hai?,Raj Kaushal,wiki/Hindi,Hindi,Associate Re-recording Mixer
2006,wiki/Omkara_(2006_film),Omkara,Vishal Bhardwaj,wiki/Hindi,Hindi,Sound Editor
2006,wiki/Poseidon_(film),Poseidon,Wolfgang Petersen,wiki/English_language,English,Version Re-recording Mixer
2006,wiki/Gangster_(2006_film),Gangster,Anurag Basu,wiki/Hindi,Hindi,Associate Re-recording Mixer
2006,wiki/Shaadi_Se_Pehle,Shaadi Se Pehle,Satish Kaushik,wiki/Hindi,Hindi,Associate Re-recording Mixer
2006,wiki/Teesri_Aankh:_The_Hidden_Camera,Teesri Aankh: The Hidden Camera,Harry Baweja,wiki/Hindi,Hindi,Associate Re-recording Mixer
2006,Printed Rainbow,Gitanjali Rao,Short,Re-recording Mixer
